plugin name,active installations
Homepage Helden Contact Info,80
Newsletter,300000
cformsII,10000
Contact Form 7 – PayPal Extension,2000
Affiliates Contact Form 7 Integration,1000
Lana Contact Form,60
Contact Form 7 – Gutenberg block,100
Custom Contact Forms,30000
Active Directory Integration / LDAP Integration,3000
Adaptación RGPD / LOPD,9000
Official Facebook Pixel,60000
Contact Form 7 Datepicker,100000
Hidden Field for Contact Form 7,2000
Contact Form 7 Cost Calculator – Price Calculation Free,4000
Schema,50000
File Manager,200000
Sliding captcha Field for Contact Form 7,50
Duplicate Page,700000
wp simple ajax contact form,100
Very Simple Google Maps,4000
WordPress Contact Forms by Cimatti,3000
CF7 AutoResponder Addon,2000
Paid Memberships Pro,70000
Contact Listing for WP Job Manager,20000
PowerPress Podcasting plugin by Blubrry,60000
Email Before Download,20000
Visual Builder for Contact Form 7,3000
"Popup Maker – Popup Forms, Optins & More",300000
ListPress Contact,60
Contact Form 7 To WordPress Post,100
Football Pool,1000
Premium Addons for Elementor,70000
WP Discord Post,1000
Tidio Live Chat,40000
Location Module (Lite) for Contact Form 7,500
ShortPixel Image Optimizer,100000
Forms: 3rd-Party Integration,10000
One Click Demo Import,500000
WP Post Popup,4000
Connections Business Directory,10000
"WP ERP – HRM, CRM & Accounting Solution For WordPress",8000
HTML Forms,1000
Revive Old Posts – Auto Post to Social Media,60000
Imagify Image Optimizer,100000
Contact Form 7 Dropbox,400
Resume Builder,7000
"Live Chat, Call Me Back, Ticket System, Feedback, Contact Form & more oFeatures Customer Service",200
Custom Sidebars – Dynamic Widget Area Manager,200000
Essential Addons for Elementor,100000
Simple Job Board,10000
Hot Simple Contact,300
ActiveCampaign,30000
SendGrid,100000
Contact Form 7 GetResponse Extension,1000
Contact Form 7 Star Rating,1000
Responsive Photo Gallery – Images Gallery for WordPress,5000
Zendesk Chat,90000
Rainmaker Form – Best Forms Plugin on WP,10000
Contact Form 7 GetResponse Extension,400
Pay with Contact Form 7,100
Brilliant Web-to-Lead for Salesforce,8000
Contact Form 7 Modules,10000
Color Picker for Contact Form 7,200
Stop Spammers,40000
SMTP Mailer,30000
Enable Media Replace,300000
AMP WP – Google AMP For WordPress,600
Typeform | Create beautiful contact forms & much more,10000
Google Map for Contact Form 7,600
WP Event Manager,2000
Minimal Coming Soon & Maintenance Mode,60000
Google Captcha (reCAPTCHA) by BestWebSoft,200000
iContact for Contact Form 7,100
Site Offline Or Coming Soon Or Maintenance Mode,20000
WordPress Page Builder – Beaver Builder,500000
Default featured image,20000
WS Contact Form,80
Maintenance,400000
Seos Contact Form,2000
Booking Activities,1000
Slick Popup Lite,5000
Custom Icons for Elementor,10000
Contact Form 7 Star Rating with font Awesome,1000
WP HTML Mail – Email Designer,10000
KS Contact Widget,100
Smush Image Compression and Optimization,1000000
Photo Gallery by 10Web – Responsive Image Gallery,300000
WP-CRM – Customer Relations Management for WordPress,4000
OneSignal – Web Push Notifications,100000
PW WooCommerce Gift Cards,2000
contact info,200
Captcha Free Anti Spam for Contact Form 7 (Simple No-Bot),60
The GDPR Framework By Data443,10000
Dynamics 365 Integration,600
Slimstat Analytics,100000
Unique Headers,20000
Photo Gallery by Supsystic,70000
Form Builder CP,2000
Compress JPEG & PNG images,100000
Easy Property Listings,7000
Postmark for WordPress,10000
Google Analytics Dashboard Plugin for WordPress by MonsterInsights,2000000
Cresta WhatsApp Chat,3000
"Popups, Lead Forms, Surveys, Live Chats WordPress Plugin – GetSiteControl",9000
WP Mega Menu,10000
Facebook Widget,100000
Post SMTP Mailer/Email Log,80000
"Video Gallery – YouTube Playlist, Channel Gallery by YotuWP",10000
WPCasa Contact Form 7,1000
Contact Form 7 City Field Extension,1000
Mollie Payments for WooCommerce,40000
Integração RD Station,7000
WooCommerce MyParcel,4000
Contact Form 7 Multiple Upload Addon,100
Contact Form7 Database,300
WCP Contact Form,9000
Image Gallery by Robo – Responsive Photo Gallery,40000
"GridKit Portfolio Gallery – Multipurpose portfolio, gallery, video gallery, product catalog",10000
Login Logout Register Menu,9000
UpiCRM – Free Lead Management and WordPress CRM solution + GDPR Compliance.,2000
Best Free Increase Traffic & Engage Visitors Widgets,1000
Images Slideshow by 2J – Image Slider,4000
Mailjet Email Newsletter Marketing,10000
CF7 Invisible reCAPTCHA,7000
CBX Feedback,1000
Math Captcha,30000
WordPress File Upload,20000
"MailChimp Subscribe Form, Optin Builder, PopUp Builder, Form Builder",6000
Advanced noCaptcha & invisible Captcha,20000
Business Profile,10000
NinjaTeam Facebook Live Chat,3000
Fusion Page Builder : Extension – Contact Form,900
Coming Soon,10000
Really Simple CAPTCHA,1000000
Google Analytics,20000
GetResponse for WordPress,10000
JetPack Contact Form Success Message,700
Contact Form 7 minlength extension,1000
Live Chat with Facebook Messenger,4000
Posts in Page,40000
WP Mail SMTP Plugin with Email Logs,50000
YITH Infinite Scrolling,9000
Contact Form Sortcode Selection,50
WooCommerce AdWords Dynamic Remarketing,5000
Contact Form 7 Select Box Editor Button,2000
Authorize.net Payment Gateway For WooCommerce,9000
Leader,800
Invisible reCaptcha for WordPress,70000
Chameleon,700
Participants Database,10000
CF7 to Zapier,3000
Kadence Themes Toolkit,90000
Contact Form 7 to Robly,60
WordPress Force HTTPS,30000
Hoo Contact Form,1000
ShiftController Employee Shift Scheduling,600
Email download link,3000
WhatsApp Chat WP,20000
Contact Form 7 styler for Elementor Page Builder,4000
Genesis Translations,20000
Anything Popup,10000
PropertyHive,1000
MailMunch – Grow your Email List,20000
Divi Supreme Modules,1000
Image Hover Effects For WPBakery Page Builder (formerly Visual Composer),3000
RegistrationMagic-Custom Registration Forms and User Login,10000
Events Manager – Email Users,200
HubSpot for Gravity Forms,3000
Contact Form 7 UTM tracking,400
GamiPress,3000
Related Posts for WordPress,40000
Duplicate Post,2000000
Quiz And Survey Master (Formerly Quiz Master Next),20000
Theme Editor,10000
Markup (JSON-LD) structured in schema.org,20000
SendinBlue Subscribe Form And WP SMTP,30000
FEEDZY RSS Feeds Lite,30000
Contact Form 7 Group Mail,200
Smart Slider 3,300000
Robin image optimizer — save money on image compression,10000
MW WP Form,90000
Login rebuilder,10000
Contact Form Builder For WordPress : #1 Free Contact Us Form Builder By Core37,400
CP Blocks,700
Justified Gallery,10000
WordPress Form Customizer | CF7 Customizer,10000
PlanSo Forms,10000
Androapp – Native Android & IOS mobile app for wordpress site,2000
ActiveTrail – Contact Form 7,300
Simple Facebook Plugin,40000
Quick Contact and Call back widget,400
Forms by CaptainForm – Form Builder for WordPress,20000
Live Chat with Facebook Messenger,30000
Smart Marketing SMS and Newsletters Forms,2000
WP Forms Signature Contract Add-On,300
"Coming Soon, Under Construction & Maintenance Page",20000
WP Google Maps,400000
Agile CRM Contact Form 7 Forms,200
Contact Form 7 International Sms Integration,600
Coming Soon Page & Maintenance Mode,7000
osTicket Connector,100
Disable Comments,10000
Footer Putter,20000
Complianz Privacy Suite (GDPR/CaCPA),1000
PowerFormBuilder – Easy and Modern Contact Forms for WordPress,30
WP Live Chat Customer Support by Customerly,300
Jackmail Newsletters,2000
Popups – WordPress Popup,60000
CleverReach Newsletter,3000
Gallery,10000
PT Elementor Addons Lite,7000
DuracellTomi's Google Tag Manager for WordPress,200000
Styler for Contact Form 7,200
Server IP & Memory Usage Display,30000
Responsive Poll,4000
Exclude Pages From Menu,10000
YITH WooCommerce Compare,200000
WPSiteSync for Content,2000
Arigato Autoresponder and Newsletter,2000
User Info In Email For Contact Form 7,400
Map Contact,200
WP Maintenance,30000
Orion SMS OTP Verification,500
Contact Form Builder Online – Gorilla Forms,300
Data Tables Generator by Supsystic,30000
PTA Volunteer Sign Up Sheets,2000
Email Verification / SMS Verification / OTP Verification,2000
Easy Social Icons,50000
